0,DataLink$Name,DataLink$url,DataLink$Location,DataLink$Intro,linkSkill
30,Kirk Borne,https://www.linkedin.com/in/kirkdborne/,"Maryland, United States","Data Scientist. Global Speaker. Consultant. Astrophysicist. Space Scientist.Big Data & Data Science advisor, TedX speaker, researcher, blogger, Data Literacy advocate.Worldwide top influencer since 2013, Social Reporter for your Data Event...2018-19: #1 Digital (Data Science, Big Data, AI) worldwide influencer
2017: #1 and #2 (different lists) Big Data, #1 Data Science, #2 Machine Learning, #4 MarTech .2016: #1 Big Data, #1 Data Science, #2 Machine Learning / AI, #13 IOT, #16 Data Security.2015: #2 Big Data, Data Mining, Data Science.2014: IBM Big Data & Analytics Hero: http://ibm.co/1dAAVyL2014: #2 Data Mining.
2014: Top 33 Most Noted Data Scientists on Twitter: http://www.bigdata-madesimple.com/33-most-noted-data-scientists-on-twitter/2014: #14 Top Big Data Executives and Experts to Follow on Twitter: http://ceoworld.biz/ceo/2014/04/06/top-big-data-executives-and-experts-to-follow-on-twitter-99209833 
2014: #27 in ""Top 50 Big Data and Customer Experience - Top Influencers"" http://www.onalytica.com/blog/posts/big-data-and-customer-experience-top-100-influencers
2013: #1 Big Data.Data Scientist -- Transdisciplinary data science research, applications, and consulting across a variety of fields -- transcending traditional discipline boundaries.Specialties: Public Speaking, Data Science, Machine Learning, Data Mining, Data Analytics, Big Data, X-Informatics (Discovery Informatics, Science Informatics, and more), Scientific databases, Scientific data mining, Computational-X (Computational Science, and more), Astroinformatics** (Data Science for Astronomy), Observational Astronomy (ground-based and space-based), Computational Astrophysics, Higher Education, Science Education and Public Outreach, Project Management, Proposal-writing.**co-creator of the field of Astroinformatics: see http://www.springerlink.com/content/007642412771162j/ and http://arxiv.org/abs/0909.3892",Data Mining| Business Analytics|Data Science|Predictive Analytics|Machine Learning|Statistics
31,Lillian Pierson,https://www.linkedin.com/in/lillianpierson/,"Florida, United States","I am a data strategist, advisor, and trainer. I partner with executive teams to act as a second set of eyes, offering oversight and recommendations for optimal data science and engineering operations. 

I also advise SMEs and entrepreneurs on the data technologies, methods, and strategies that they can use to solve problems that their business faces.

DATA STRATEGY SERVICES (B2B)
I develop data strategy plans to help executives lead and manage their big data initiatives. This strategy anticipates and guides leaders in overcoming obstacles to a project's success. It helps managers optimize their existing employee's skillsets. It prescribes the ideal technologies to use when executing upon the strategic plan. It makes detailed and vetted recommendations for the data resources, skillsets, and technologies needed for the successful delivery of your big data project.

TECHNICAL TRAINING & WORKSHOPS ON BIG DATA SCIENCE TOPICS (B2B)
I'm an international technical training consultant. I've delivered training and imparted my data expertise at events spread across 7 countries and 3 continents to-date. I conduct both in-house and online trainings for Python for Data Science, Machine Learning Engineering, Recommendation Engines, and Fundamentals of Big Data.

BUSINESS COACHING FOR TECH PROFESSIONALS (B2C)
Using a blended mixture of training, mentoring, and coaching techniques, I help tech professionals get serious results in their quest for successful entrepreneurship and career advancement.",Machine Learning|Predictive Modeling|Digital Marketing
32,Mara Averick ,https://www.linkedin.com/in/maraaverick/,"Victoria, Australia ","Information technology professional with broad background integrating functional requirements, data architecture, and research analysis in non-profit, commercial, B2B, and academic environments. Strengths in analyzing, establishing, and communicating multiple stakeholder needs, resulting in scalable product and project solutions. A fast learner who integrates research and experience to produce high-quality deliverables and establish metrics for data-driven success. Specialties: Data Analysis and Visualization",Information Architecture|Data Analysis|Usability Engineering
33,Mark Reynolds,https://www.linkedin.com/in/profreynolds,"Texas, United States","Reach me at:<U+2800><U+2800>Mark@ProfReynolds.com<U+2800><U+2730><U+2800>(832) 364-6778<U+2800><U+2800><U+2800><U+2800><U+2800>

Master of Engineering experienced as solutions architect, data architect, .NET developer, team leader and mentor. Accomplished Project Manager and Director demonstrating digital technologies, agile methodologies, distributed systems, IoT, Edge Computing, automation, and Machine Learning. Solution Evangelist promoting processes, automation, distributed systems, analytics, and systems.

.NET (Framework & Core), C# / VBasic.NET, SQL / SSMS / Redgate, VBA (Access, Excel), R, JetBrains / ReSharper, WinForms / WPF / MVC, Telerik / Component One, Clipper / FoxPro, Real-Time, IoT, Edge Processing, Analytics, Machine Learning, Azure Cognitive Services, WITSML, PPDM, SOA / CQRS / TDD / IOC, Solutions Architect, Systems Engineer, Project Architect, Master Data Architect, Agile / DevOPS / SDLC, SpotFire, WellView / MasterView, Boresight, Pason, Petrolink, BlockChain",Digital Transformation | Enterprise Solution Architect | IoT and Edge Computing
34,Matt Stephens,https://www.linkedin.com/in/matt-stephens,"Atlanta, United States","My name is Matt Stephens and I am a student at Bentley University working towards a major in management. My two strongest qualities are adaptability and the ability to turn my vision into a reality. I have co-founded and overseen the life of a startup, The Pine Company, as well as having held many positions at Blackstone National Golf Club. With the strengths stated as well as years of public speaking experience, I could make in impact in the Private Equity and Venture Capitalist Industry.",Communication | Community Outreach | Ideation
35,Max Kuhn ,https://www.linkedin.com/in/max-kuhn-864a9110/,"Connecticut, United States","I am a Ph.D. statistician with experience in a few different domains: pharmaceutical non-clinical statistics, molecular diagnostic R&D, assay development, manufacturing support/Six Sigma and clinical statistics (in order of my interests).
I have worked both as an individual contributor as well as directing moderate sized groups (currently 2 people, 12 previously).
I prefer problems where creativity is a key to problem solving. For example, predictive modeling (i.e. machine learning) is an area where traditional statistics may be limiting; as long as you can prove that a solution performs well, any idea is on the table. 
Complex problems interest me. A friend once remarked that I thrive on making order out of chaos and, to some extent, this is true. One of the most overlooked skills in these situations is the ability to remained focused on the core objective. This is especially true when we have as access to large amounts of data.
Specialties: Predictive modeling/machine learning/pattern recognition
Computational biology and chemistry
High dimensional biology
The design and analysis of experiments",R|Drug Discovery|Predictive Modeling
36,Michael Krigsman,https://www.linkedin.com/in/mkrigsman,"Boston, United States","Michael Krigsman is an industry analyst and host of http://cxotalk.com. He is recognized internationally as an analyst, writer, and commentator. 

Key accomplishments:
-- Among the top executive interviewers and panel discussion leaders in the world.
-- Conducted over 500 live senior executive interviews and panels on video and on stage
-- Referenced in over 1,000 times in newspapers, TV, radio, and other media
-- Work has been referenced in 50 books 
-- Published in Wall Street Journal and various syndicated websites
-- ZDNet columnist: written over 1,000 articles on innovation
-- Judge for CIO 100 annual contest, CRM Idol, and BlueWolf CX, and others
-- Was among the world's most prolific writers and researchers on the causes and prevention of failed IT projects

#1 CIO influencer among all industry analysts (Apollo research)
#2 on Klout list of 13,000 IT influencers
#4 most mentioned globally by IT leaders on Twitter (research by Robert Half)
#18 Onalytica list of top 100 Digital Transformation influencers (2018)

Expert panel moderator at many global conferences and events.

Photographs have been published by the Wall Street Journal, MIT, CNET News, the National Park Service, Inc. Magazine, and others.",Enterprise Software | Strategy | CRM
38,Monica Rogati,https://www.linkedin.com/in/mrogati/,"California, United States","I'm a technical and strategic data science advisor. I often serve as a fractional data executive, bringing immediate focus and impact while giving companies time and bandwidth to identify the right long-term fit. I work with dozens of clients, ranging from 5 to 8,000 employees and spanning several industries. 
Before becoming an independent advisor, I was Jawbone's VP of Data, where I built and lead a team of top data scientists and engineers. We built intelligent data products that promote a healthier lifestyle and found fascinating stories in the UP wearable data. Prior to Jawbone, I was one of the early members of the LinkedIn data science team, where I developed and improved some of LinkedIn’s key data products for matching jobs to passive candidates, discovering people you may know, and recommending groups you may like. Strong background in applied machine learning (CMU CS PhD), data science, wearables and health, social network analysis, recommender systems and natural language processing. Fast Company's 100 most creative people in business; Fortune Magazine Big Data All-Stars.",Data Science|Data Mining|Machine Learning
41,Sally Eaves,https://www.linkedin.com/in/sally-eaves,"London, United Kingdom","Prof. Sally Eaves has been described as the ‘torchbearer for ethical tech’. She is an international advocate for opening-up access to opportunity and has founded Aspirational Futures to help skill, empower and support the next generation of interdisciplinary talent into careers yet to be conceived, alongside scaling the application of emergent technology as an enabler for business transformation and social good. Sally is also the Social Impact lead for the UK Government Blockchain Association and contributes to parliamentary policy thought leadership.  She was an inaugural recipient of the Frontier Technology and Social Impact award, presented at the United Nations in 2018 and is now leading major initiatives in this area, including presenting at Davos and leading events worldwide. 

Sally also brings a depth of experience from both Chief Executive Officer and Chief Technology Officer roles, as a Professor in Advanced Technologies and as a Global Strategic Advisor. She specialises in the application and integration of Blockchain, Artificial Intelligence and associated emergent technologies for business and societal benefit. Sally works globally with bleeding-edge disruptors, governments, academia and leading corporate institutions to apply her expertise for achieving sustainable competitive advantage alongside purpose-driven change. 

A member of the Forbes Technology Council, Sally is an award winning international keynote speaker, author and influencer with globally leading rankings across all advanced technology disciplines, digital transformation, future of work and social innovation aligned to the United Nation’s Sustainable Development Goals. She has recently been ranked 8th in the World in Blockchain impact and is continually ranked in the top 10 for digital disruption and across frontier technology subjects by leading bodies such as Onalytica. 

Email sally@sallyeaves.com | Call +44 7973492361 | Follow @sallyeaves",Social Media | Change Management | Start-ups
42,Sandeep Raut,https://www.linkedin.com/in/rautsandeep,"Mumbai, India","Top 10 Global Digital Transformation Influencers to Follow Today by IDG | Top 10 global digital transformation influencers that will change your world by Enterprise Management 360° | Ranked #8 in Top 20 Global Thought Leaders in Digital Transformation technologies by Thinkers360 | Ranked #3 in Top 25 Digital Transformation Blogs and Websites on the Web | Ranked #7 in Global Top 100 Digital Transformation Influencers by Kcore-Analytics | Ranked #17 in top 100 Global Digital Transformation influencers by Onalytica | Ranked #2 in Top 20 Global Thought Leaders in Analytics by Thinkers360 | Top 5 Global Business Leaders in Business Intelligence by Onalytica

Spearheaded Digital Transformation consulting engagements like digital vision & strategy, digital maturity assessment, customer journey mapping workshops, mobile-first strategy, and new digital business models

Delivered keynote speeches on Digital Transformation, Analytics at various B-Schools.

•	Has more than 30 years of IT Services / Consulting / Off-shoring experience 
•	Founded, built & grown the Digital Transformation, BI-Analytics practices
•       Spearheaded over 20+ IPs & 15+ Industry solutions in Digital Transformation
•       Built internal capability on various digital technologies & set up a digital innovation lab for emerging technologies
•	Specialties: Digital Transformation, BI & Big Data Analytics, IoT & Mobility
•	Banking and Financial Services, Insurance, Travel, Healthcare-Lifesciences, Retail and Manufacturing",Business Intelligence | Analytics | Digital Transformation
43,Tamara Dull,https://www.linkedin.com/in/tamaradull/,"California, United States","""If you can't explain it simply, you don't understand it well enough."" This Einstein quote reminds me that complexity is hard, but simplicity is even harder. I have always loved the challenge of keeping it simple in whatever I do. It has fueled my passion and inspired my creativity throughout my career. I jumped on the high-tech fast track long before the internet was born and the sci-fi of yesterday became the reality of today. My journey began in the '80s with DEC and Oracle RDBMS v4, which set me up for the road ahead: rewarding opportunities with multiple software vendors, a few consultancies, and a non-profit start-up. Today, my focus is on cloud computing technologies, the Internet of Things (IoT), blockchain, and open source (especially as it interplays with commercial software). While I still love to roll up my sleeves and get my geek on, I find great satisfaction these days bridging the gap between the geeks and everyone else. It's an exciting time to be in high tech. Like a fine wine, it just keeps getting better with time.",Product Management|Enterprise Software|Business Intelligence
46,Tripp Braden,https://www.linkedin.com/in/trippbraden,"Michigan, United States","Change is accelerating in many financial services markets. Insurtech and several other trends are transforming P&C and commercial  insurance markets today. Without being able to adapt, organizations will find themselves unable to sustain sales growth and will ultimately lose market share.

I am an IBM recognized Thought Leader and Sage Global Business Expert with an extensive background in B2B client acquisition and business development strategies. Clients hire me to accelerate growth in their commercial insurance practices today while helping them see and seize new opportunities moving forward. I have proven success increasing sales pipelines and reducing sales cycles for organizations.

For many producers, they need to change their mindset from a focus on revenue production to a sales team leader. This includes developing future successful commercial producers and creating systems to build a more valuable business.

We work with clients to develop commercial insurance producers and financial advisors. Our strength-based programs are designed to:

Increase the producers’ skills in prospecting and client acquisition
Develop a unique leadership position in their target markets
Leverage online media to create ongoing client communication channels
Coach clients on business development systems to increase revenue and profits
Help clients recruit, develop, and retain the next generation of high performing sales leaders

We develop our clients’ leaders into performance partners who can leverage their time and efforts by engaging and empowering their producers at critical points in the client development process. 
This coaching process allows newly hired producers to take advantage of the organization’s strengths and capabilities to accelerate their sales results and career success while providing insurance clients with the results that they need.

Contact me:
Email: tbraden@marketleadership.net
Twitter: @trippbraden",Strategy | Business Development | Strategic Partnerships
47,Vinay Solanki,https://www.linkedin.com/in/vinaysolanki,"Delhi NCR, India","Heading IoT Business for Lenovo in APAC and MENA region, responsible for end to end. Prior to this worked as Director Strategy & Market Dev at Aeris, a IoT platform and solutions player and prior led IoT and Wi-Fi strategy and business development at Bharti Airtel, India. MBA from IIM-Ahmedabad and have worked as VP Technology at Goldman Sachs, New York.  

I have 14+ years of experience encompassing roles in strategy, partner management, business development, mobile money fraud and risk management, and building trade platforms for fixed income bonds.  Founded IoT-NCR in 2015, an open meetup community with 6500+ members focused on knowledge sharing on IoT and Digital technologies, operates as not-for-profit and worlds 4th largest community. Active member of IET IoT, Nasscom AgriTech Community, and DoT TEC Smart Village WG. I am author on IoT on Quora, Your-Story, EFY Media, IoT Central, and IoT Now. Also authored white papers covering IoT Business models and Smart Buildings. I speak on IoT, Digital Tech and Wi-Fi at various forums, conferences, start-up events and colleges. 
Tweet: @vsolank1",Team Management | Java | Business Analysis
