Rank,Twitter Handle,Name,TL Score,profileURL,profileIMGURL,company,intro,location,Latitude,Longitude,tFollower,IndustryExperience,Publications,Opportunities,tURL,linkURL,AreasofExpertise
11,MarkDataDriven,Mark Reynolds,Score: 33.08,https://www.thinkers360.com/tl/profiles/view/281,https://www.thinkers360.com/tl/assets/images/profile.jpg,"Mark Reynolds
                  Digital Transformation Engineer
                                    http://profreynolds.com/","Master of Engineering professional experienced as an engineer, architect, developer and team leader. Accomplished Project Manager and Director demonstrating proactive application of digital technologies and agile methodologies balanced between engineering, development, automation, adaptive processing, and distributed systems. Senior Dot NET Developer adept at user engagement and robust feature rich solutions. Solution Evangelist with recognized command of processes, distributed systems, analytics, machine learning, and multiple digital technologies. 
“My background integrates unique understanding of operations, knowledge, and analytics. I actively balance engineering, design, architecture, and applications with special consideration toward operations, knowledge, and analytics.”
Ready to bring success and vision to technological challenges, enterprise solutions, real-time processes, analytics, IoT, automation and edge computing. Ready to implement solutions focusing on cross discipline teams, integrated user experiences, and organizational responsibility. Ready to provide a leadership role model through active communication, enhancing team growth and sustainability. Ready on day one.","Texas, United States",42.201019,-85.706306,58,Aerospace & Defense | Financial Services & Banking | Oil & Gas | Professional Services,15 Article/Blogs  | 2 Media Interviews  | 2 Panels  | 3 Speaking Engagements ,"Digital Transformation Engineer
			Location: North Houston    Date Available: July 01st, 2018    Fees: negotiable
			Submission Date: July 09th, 2018    Service Type: Service Offered",https://twitter.com/Prof_Reynolds,https://www.linkedin.com/in/profreynolds,Agile |AI |Analytics |Culture |Design Thinking|Digital Disruption|Digital Transformation|Emerging Technology|Innovation |IoT |Leadership |Open Innovation|Predictive Analytics
12,tomraftery,Tom Raftery,Score: 32.31,https://www.thinkers360.com/tl/profiles/view/225,https://www.thinkers360.com/tl/assets/images/profile.jpg,"SAP
                  Global VP, Futurist, and Innovation Evangelist
                                    https://www.sap.com","Global VP, Futurist, & #Innovation Evangelist @SAP, inspirational keynote speaker, Co-founder @CloudCIX, Host http://IoTHeroes.com  podcast, Global #IoT influencer","Seville, Spain",37.389091,-5.984459,19689,Automotive | High Tech & Electronics | Media | Oil & Gas | Utilities,223 Article/Blogs  | 12 Keynotes  | 13 Media Interviews  | 1 Podcast  | 1 Video ,"Inspirational keynote talks on innovation
			Location: Global    Date Available: June 15th, 2018    Fees: Travel and Expenses covered
			Submission Date: June 15th, 2018    Service Type: Service Offered",https://twitter.com/tomraftery,NA,AI |Analytics |VR |Autonomous Vehicles|Blockchain |Cloud |Cryptocurrency |Cybersecurity |Digital Disruption|Digital Transformation|Edtech |Emerging Technology|Future of|Healthtech |Innovation |IoT |Marketing |Mobility |Predictive Analytics|Supply Chain|Sustainability |Customer Experience|Management |Open Innovation|Leadership 
13,jimmarous,Jim Marous,Score: 32.31,https://www.thinkers360.com/tl/profiles/view/132,https://www.thinkers360.com/tl/assets/images/profile.jpg,"The Financial Brand
                  Co-Publisher
                                    https://thefinancialbrand.com","Named as one of the most influential people in banking and a Top 5 Fintech Influencer to Follow, Jim Marous is an internationally recognized financial industry strategist, co-publisher of The Financial Brand and the owner and publisher of the Digital Banking Report. Marous advises on innovation, portfolio growth, customer experience, marketing strategies, channel shift, payments and digital transformation within the financial services industry.
As a sought after keynote speaker, author and recognized authority on disruption in the financial services industry, Marous has been featured by CNBC and CNN, The Wall Street Journal, New York Times, The Financial Times, The Economist, The American Banker, Accenture and the Irish Tech News and has spoken to audiences worldwide. Jim has also advised the White House on banking policy and is a regular contributor and guest host for the Breaking Banks broadcast hosted by Brett King.","Ohio, United States",41.50555,-81.691498,76160,Financial Services & Banking | Insurance,33 Article/Blogs  | 2 Keynotes  | 9 Media Interviews ,NA,https://twitter.com/jimmarous,https://www.linkedin.com/in/jimmarous,AI |Digital Transformation|Fintech |Innovation |Change Management
14,hessiejones,Hessie Jones,Score: 31.54,https://www.thinkers360.com/tl/profiles/view/147,https://www.thinkers360.com/tl/assets/images/profile.jpg,"Salsa AI
                  Cofounder
                                    http://salsaai.org","I have a passion for technology and try to stay on the cutting edge of the Internet, artificial intelligence, social media, and video and how they impact marketers and advertisers as the media landscape morphs with these mediums. 
These days we need to go beyond current KPI's and measure success based on customer needs, that is both time relevant and business relevant. This is the advent of business transformation and the consumer is dictating this paradigm shift in commerce and communication across all industry sectors. 
When I started ArCompany a few years back we saw the future : taking Social Media to the inevitable next level: operationalizing social and showing companies how to capitalize on social intelligence.
The tide is turning and this vision is now a reality. I'm now tackling how business begins to transform because of AI's impetus. It will change culture, process and mindset. My current motto - SCALE AI TO THE MASSES through platform, education and inclusiveness. This means creating a product that everyone can use but also EDUCATING for the non-technical groups and providing the foundations for AI and what companies need to do to prepare.
With over 17 years in the digital space, I have worked within these disciplines: AI, data analytics, big data, social media strategy, performance tracking and optimization, influencer strategy, content strategy and development, community management, application development for web and mobile, client management, search and online media strategy/marketing, product marketing, sponsorship marketing, direct and database marketing, loyalty/CRM, education, training, outreach, content management, and PR.
...While working with/for brands including Second Cup, LCBO, Aon, Adidas, Citi, Taco Bell, Pizza Hut; Absolut Vodka, Crystal Head Vodka, Columbia House, CIBC, Yahoo! (Answers, Music, FIFA, Mail, News, Finance) Overlay.TV, Juno Awards, Canadian New Media Award, Toronto Grand Prix, Fairweather, UPS, Esso, Lexus, Scotiabank ","Pickering, Canada",43.838413,-79.086761,5082,Automotive | Consumer Products | Financial Services & Banking | Media | Professional Services | Telecommunications | Travel & Transportation,115 Article/Blogs  | 1 Book ,NA,https://twitter.com/hessiejones,https://www.linkedin.com/in/hessiejones1,AI |Big Data|CRM |Digital Disruption|Digital Transformation|Marketing |Social |Startups |Analytics |Innovation |Open Innovation|Future of|Culture |Proptech |Health and|Cloud 
15,mkrigsman,Michael Krigsman,Score: 31.54,https://www.thinkers360.com/tl/profiles/view/137,https://www.thinkers360.com/tl/assets/images/profile.jpg,NA,"Michael Krigsman is an industry analyst and host of http://cxotalk.com. He is recognized internationally as an analyst, writer, and commentator. 
Key accomplishments:
-- Conducted many hundreds of live executive interviews and panels on video and at conferences
-- Referenced in over 1,000 times in newspapers, TV, and radio
-- Work has been referenced in 50 books 
-- Published in Wall Street Journal and various syndicated websites
-- ZDNet columnist: written over 1,000 articles on innovation
-- Judge for CIO 100 annual contest, CRM Idol, and BlueWolf CX, and others
#1 CIO influencer among all industry analysts (Apollo research)
#2 on Klout list of 13,000 IT influencers
#4 most mentioned globally by IT leaders on Twitter (research by Robert Half)
#18 Onalytica list of top 100 Digital Transformation influencers (2018)
Keynote speaker and expert panel moderator at many global conferences.
He is also a photographer whose work has been published by the Wall Street Journal, MIT, CNET News, the National Park Service, Inc. Magazine, and others. Michael is on Twitter at @mkrigsman.","Boston, United States",42.360081,-71.058884,33403,NA,2 Article/Blogs  | 20 Podcasts ,NA,https://twitter.com/mkrigsman,https://www.linkedin.com/in/mkrigsman,Digital Transformation|Autonomous Vehicles|AI |Innovation |Change Management
16,SetDeep,Deepak Seth,Score: 31.54,https://www.thinkers360.com/tl/profiles/view/157,https://www.thinkers360.com/tl/assets/images/profile.jpg,NA,"Accomplished Global Technology Leader with 20+ years of progressive experience in IT strategy, enterprise architecture, program management, application and enterprise system integration. Excellent communicator who engages all levels in their own language (technical, business, C-Suite) to articulate complex technical concepts effectively.
Strategic Visionary & Innovation Driver who takes out-of-the-box solutions to full operational delivery. Advanced executive strategy discussions focused on new applications for emerging technologies to drive business enablement, revenue growth, cost savings, and competitive advantage across industry sectors (healthcare, technology, services, consumer). Business DNA combines key traits: driven, energetic, action-oriented, analytical, big-picture perspective.
Core Competencies
Strategic Planning  Global Team Leadership  Enterprise Architecture    Business Transformation  OPEX/CAPEX Product/Systems Development   Project/Program Management   Risk Management   IT Governance Big Data/BI  Analytics   CRM/ERP   Workflow Automation  System Integration   Technology Innovation","Texas, United States",42.201019,-85.706306,153,NA,13 Article/Blogs ,NA,https://twitter.com/SetDeep,https://www.linkedin.com/in/deepaksethitleader,
17,mabstep,Matt Stephens,Score: 30.77,https://www.thinkers360.com/tl/profiles/view/8,https://www.thinkers360.com/tl/assets/images/profile.jpg,"Theraloop, Inc.
                  Founder & CEO","My experience as an operator/principal and as an adviser to early-growth stage company executives and fund managers has provided me with a dynamic lens through which I use to recognize, understand, and address opportunities for gain. This perspective allows me to ask the right questions, remain objective, and produce outcomes that reduce risk, eliminate or avoid inefficiencies, and accelerate sustainable revenue growth.","Atlanta, United States",33.74855,-84.391502,52,Consumer Products | Financial Services & Banking | Healthcare | High Tech & Electronics | Higher Education & Research | Insurance | Manufacturing | Media | Oil & Gas | Professional Services | Retail | Telecommunications | Travel & Transportation | Wholesale Distribution,6 Article/Blogs  | 1 Conference Publication  | 2 Journal Publications  | 1 Keynote ,"Product Development & Revenue Growth Strategy: Accelerated path to improve Liquidity and Profitability
			Location: United States    Date Available: July 16th, 2018    Fees: Varies
			Submission Date: July 17th, 2018    Service Type: Service Offered",https://twitter.com/mabstep,https://www.linkedin.com/in/matt-stephens,AI |Analytics |Big Data|Blockchain |Cloud |CRM |Culture |Customer Experience|Design Thinking|Digital Disruption|Edtech |Emerging Technology|Healthtech |Innovation |Leadership |Lean Startup|Management |Marketing |Mobility |Open Innovation|Predictive Analytics|Startups |Digital Transformation|Future of|Social 
18,vsolank1,Vinay Solanki,Score: 30.77,https://www.thinkers360.com/tl/profiles/view/257,https://www.thinkers360.com/tl/assets/images/profile.jpg,"Lenovo
                  Head IoT (APAC & MEA)
                                    https://www.lenovo.com/","Vinay has 14+ years of experience playing roles in business development, strategy, alliances, fraud & risk management, technology and product management. He heads the Business of Internet of Things at Lenovo for APAC and MENA and prior to this worked as Director Strategy at Aeris a leading IoT player. He led IoT and Wi-Fi Business at Bharti Airtel, India and has worked as VP Technology at Goldman Sachs, in New York. 
Vinay holds an MBA from IIM-A and is the founder of the world’s 4th largest IoT community IoT-NCR with 6500+ members. He is member of IET IoT, NASSCOM, DoT TEC and author on Your-Story, EFY, IoT Central, etc. He speaks on IoT, FinTech and Youth Motivations at various conferences, academic institutions and corporates including Intel DevFest, FMS Delhi, IIM-A, IoT Expo, AICRA.","Delhi NCR, India",28.70406,77.102493,241,Financial Services & Banking | Professional Services | Telecommunications,9 Article/Blogs  | 1 Journal Publication  | 1 Keynote  | 1 Media Interview  | 1 Panel  | 4 Speaking Engagements  | 2 Whitepapers  | 1 Whitepaper ,NA,https://twitter.com/vsolank1,https://www.linkedin.com/in/vinaysolanki,Emerging Technology|Innovation |IoT |Leadership |Open Innovation|Digital Transformation|Management |Marketing |AI |Analytics |Health and|Cloud |VR |Digital Disruption|Healthtech 
19,DaveAWhitney,Dave Whitney,Score: 30.77,https://www.thinkers360.com/tl/daveawhitney,https://www.thinkers360.com/tl/assets/images/profile.jpg,"Independent Consultant
                  Healthcare Innovation Advisor","Recognized business leader in radiology, imaging, and healthcare platform design & innovation. Dave provides subject matter expertise in the fields of enterprise medical imaging, driving radiology practice success, business collaboration and publisher of healthcare thought leadership.
Leadership - Innovation - Strategy - Transformation","Arizona, United States",32.788891,-92.957779,33,Healthcare | High Tech & Electronics | Other | Telecommunications,19 Article/Blogs  | 4 Media Interviews ,"Virtual Healthcare Advisory and Executive
			Location: Virtual    Date Available: June 05th, 2018    Fees: TBD
			Submission Date: June 05th, 2018    Service Type: Service Offered",https://twitter.com/DaveAWhitney,https://www.linkedin.com/in/daveawhitney,Analytics |Cloud |Design Thinking|Digital Disruption|Digital Transformation|Emerging Technology|Healthtech |Innovation |Leadership |Marketing |Startups |Culture |Sustainability |Management |Social |CRM |Supply Chain
20,sallyeaves,Sally Eaves,Score: 30.77,https://www.thinkers360.com/tl/profiles/view/151,https://www.thinkers360.com/tl/assets/images/profile.jpg,NA,"Recognised as a thought leader in emergent technology (Blockchain, AI, Machine Learning, VR/AR), intrapreneurship, online media and navigating digital disruption and by working with authenticity, purpose and drive, I deliver sustainable business success, educational development and social impact outcomes.  
I hold a number of directorships, undertake bespoke consultancy projects and engage in innovative research and educational activity. I am also an international events speaker, an established author and have cultivated a highly engaged and cross-sector network both in person and across all leading social media channels. 
Specialties: Business Consulting, Technology Consulting, FinTech,  Online Media Strategy, Individual, Team and Executive Coaching and Mentoring, Leadership Development, Intrapreneurship, Attitude, Behaviour and Cultural Change, Employee Engagement, Business, Technology and Education Research
Key Skills & Qualifications: MSc IT & Management, FHEA, PGCert HE, MIET, PRINCE2, ITIL
I believe strongly in the value of building mutually supporting professional relationships and a genuine business community, connecting people to one another to help make a difference. I live the ethos of paying it forward and additionally am committed to leading and promoting initiatives working with underrepresented groups to enhance employability, access to education and IT careers in order to build empowerment, create new life chances and foster a legacy of technology for good.
I would love the opportunity to start a conversation with you or your company to introduce myself personally and my wider trusted team who share these values, and to explore the possibilities of helping you to achieve your goals and optimise performance. 
Email sally@sallyeaves.com | Call +44 07973492361 | Follow @sallyeaves","London, United Kingdom",51.507351,-0.127758,86975,NA,1 Article/Blog ,NA,https://twitter.com/sallyeaves,https://www.linkedin.com/in/sally-eaves,AI |Analytics |IoT 
NA,topepos,Max Kuhn ,NA,NA,NA,NA,NA,"Connecticut, United States",41.500751,-72.757378,3372,NA,NA,NA,https://twitter.com/topepos,https://www.linkedin.com/in/max-kuhn-864a9110/,Algorithm Design|Analysis|Assay Development|Bioinformatics|Biostatistics|Biotechnology|Cell Culture|Clinical Development|Clinical Trials|Computational Biology|Computational Chemistry|Data Analysis|Data Mining|data scientist|Experimental Design|Gene Expression Profiling|Interpersonal Skills|LaTeX|Machine Learning|Management|Medical Diagnostics|Pattern Recognition|Scientific Computing|Statistic|Teaching|Tools & Technologies|Unix
NA,revodavid,David Smith ,NA,NA,NA,NA,NA,"Illinois, United States",39.7393,-89.26651,29946,NA,NA,NA,https://twitter.com/revodavid?lang=en,NA,AI | Data Science |rstats
NA,rabaath,Rasmus Baath ,NA,NA,NA,NA,NA,"Lund, Sweden",55.702888,13.19471,4346,NA,NA,NA,https://twitter.com/rabaath,https://www.linkedin.com/in/rasmus-b%E5%E5th-809435134,NA
NA,AngeBassa,Angela Bassa ,NA,NA,NA,NA,NA,"Massachusetts, United States",42.036942,-71.683502,12528,NA,NA,NA,https://twitter.com/AngeBassa,https://www.linkedin.com/in/angelabassa/,Analytical Skills|Big Data|Business Analysis|Business Development|Business Strategy|Chilled Water|Cloud Computing|Cross-functional Team Leadership|Crunching Numbers|Data Analysis|Data Science|Databases|Decision Analysis|Economics|Enterprise Software|Fire Breathing|Forecasting|Interpersonal Skills|Laser|Leadership|Management|Market Research|Memes|Other Skills |Predictive Analytics|Predictive Modeling|Project Management
NA,kinggary,Gary King ,NA,NA,NA,NA,NA,"Massachusetts, United States",42.036942,-71.683502,30434,NA,NA,NA,https://twitter.com/kinggary,,
NA,AmeliaMN,Amelia McNamara ,NA,NA,NA,NA,NA,"Minnesota, United States",46.729553,-94.685898,7943,NA,NA,NA,https://twitter.com/AmeliaMN,https://www.linkedin.com/in/ameliamcnamara/,Copy Editing|CSS|Data Curation|Data Mining|Data Visualization|Graphic Design|HTML|Illustrator|InDesign|Interpersonal Skills|JavaScript|LaTeX|Mathematica|Mathematics|Matlab|Photoshop|Proofreading|Public Speaking|Python|Research|Science|Science|Statistical Modeling|Teaching|Tools & Technologies
NA,alexpghayes,Alex Hayes ,NA,NA,NA,NA,NA,NA,NA,NA,1283,NA,NA,NA,https://twitter.com/alexpghayes,NA,rstats
NA,visnut,Dianne Cook ,NA,NA,NA,NA,NA,NA,NA,NA,4130,NA,NA,NA,https://twitter.com/visnut,NA,statistics | EDA | data mining | visualisation | data science 
NA,jcheng,Joe Cheng ,NA,NA,NA,NA,NA,"Washington, United States",47.6062,-122.3321,8938,NA,NA,NA,https://twitter.com/jcheng,https://www.linkedin.com/in/jcheng/,AJAX|C#|C++|CSS|GWT|HTML|Java|Other Skills |Photoshop|PHP|Ruby|Ruby on Rails|Software Development|SQL|Tools & Technologies|Web Applications|XML
NA,statmodeling,Andrew Gelman ,NA,NA,NA,NA,NA,NA,NA,NA,23919,NA,NA,NA,https://twitter.com/StatModeling,NA,NA
NA,drob,David Robinson ,NA,NA,NA,NA,NA,"New York, United States",40.712776,-74.005974,34923,NA,NA,NA,https://twitter.com/drob,https://www.linkedin.com/in/david-robinson-3584642a/,Algorithms|Biostatistics|Computer Science|Data Analysis|Data Mining|Genetics|Genomics|LaTeX|Mathematical Modeling|Molecular Biology|Other Skills |Programming|Python|R|Science|Sequence Analysis|Systems Biology|Tools & Technologies|Public Speaking|Recommender Systems|Research|Science|Science Communication|Science Education|Semantic Technologies|Simulation|SQL|Statistical Inference|Statistical Modeling|Teaching|Technical Writing|Text Mining|Thought Leadership|Tools & Technologies
NA,minebocek,Mine CetinkayaRundel ,NA,NA,NA,NA,NA,"North Carolina, United States",35.759575,-79.019302,8166,NA,NA,NA,https://twitter.com/minebocek,NA,NA
NA,f2harrell,Frank Harrell ,NA,NA,NA,NA,NA,"Tennessee, United States",35.51749,-86.580444,10470,NA,NA,NA,https://twitter.com/f2harrell,NA,Biostatistics
NA,juliasilge,Julia Silge ,NA,NA,NA,NA,NA,"Utah, United States",39.32098,-111.093735,22729,NA,NA,NA,https://twitter.com/juliasilge,https://www.linkedin.com/in/juliasilge/,Data Science | Visualization | rstats | Text Mining with R| Astronomy|Astrophysics|College Teaching|Courses|Curriculum Development|Data Mining|Data Modeling|Higher Education|Interpersonal Skills|LaTeX|Lecturing|Machine Learning|Other Skills |Physics|Programming|Python|Qualitative Research|Science|SQL|Strategic Communications|Teaching|Technical Writing|Tools & Technologies|University Teaching
NA,JennyBryan,Jenny Bryan ,NA,NA,NA,NA,NA,"Vancouver, Canada",49.28273,-123.120735,24132,NA,NA,NA,https://twitter.com/JennyBryan,NA,NA
NA,dataandme,Mara Averick ,NA,NA,NA,NA,NA,"Victoria, Australia ",-37.47131,144.785156,35341,NA,NA,NA,https://twitter.com/dataandme,https://www.linkedin.com/in/maraaverick/,Adobe Creative Suite|ArcGIS|BBEdit|Content Inventory|Data Architecture|Data Mapping|Design Documents|Design Strategy|Environmental Justice|Grantsmanship|HTML + CSS|Interaction Design|Interactive Development|Interpersonal Skills|JavaScript|Microsoft Office|MySQL|NVivo|Observational Research|OmniGraffle|Other Skills |Participatory Research|PHP|Qualitative Research|Quantitative Research|R|Ruby|Search Engine Submission|Site Maps|Social Impact Assessment|SPSS|SQL|Survey Design|Tools & Technologies|User Experience|User Profiling|W3C Accessibility|Web Analytics|Web Development|Web Mapping|Website Redesign|Wireframes|Wordpress|Wordpress Design|||||||||||||||||||||||||||
NA,lizstuartdc,Elizabeth Stuart ,NA,NA,NA,NA,NA,"Washington DC, United States",38.907192,-77.036873,2362,NA,NA,NA,https://twitter.com/Lizstuartdc,NA,NA
NA,daniela_witten,Daniela Witten ,NA,NA,NA,NA,NA,"Washington, United States",47.341149,-120.431601,3414,NA,NA,NA,https://twitter.com/daniela_witten,NA,NA
NA,kwbroman,Karl Browman ,NA,NA,NA,NA,NA,"Wisconsin, United States",44.900822,-89.569489,10446,NA,NA,NA,https://twitter.com/kwbroman,NA,NA
NA,KirkDBorne,Kirk Borne,NA,NA,NA,NA,NA,"Maryland, United States",42.536652,-74.886749,225791,NA,NA,NA,https://twitter.com/KirkDBorne,https://www.linkedin.com/in/kirkdborne/,Algorithms|Analysis|Anomaly Detection|Astronomy|Astrophysics|Bayesian networks|Big Data|Cluster Analysis|Collaborative Filtering|Computational Intelligence|Cosmology|Creative Problem Solving|Data Analysis|Data Profiling|Data Science|Data Visualization|Databases|Fortran|Higher Education|Information Retrieval|Interpersonal Skills|Knowledge Discovery|Knowledge-based Systems|LaTeX|Mathematical Modeling|Metadata Management|Metadata Standards|Modeling|Numerical Analysis|Other Skills |Physical Sciences|Physics|Predictive Analytics|Program Management|Public Speaking|Recommender Systems|Research|Science|Science Communication|Science Education|Semantic Technologies|Simulation|SQL|Statistical Inference|Statistical Modeling|Teaching|Technical Writing|Text Mining|Thought Leadership|Tools & Technologies
NA,craigbrownphd,Craig Brown,NA,NA,NA,NA,NA,"Texas, United States",29.760427,-95.369804,48784,NA,NA,NA,https://twitter.com/craigbrownphd,https://www.linkedin.com/in/craigbrownphd/,Business Development|C#|Cloud Computing|Cognative Computing|Data Analysis|Data Analytics|Data Lakes|Data Warehousing|Database Design|Databases|DB2|Entrepreneurship|ERP|Information Technology|Interpersonal Skills|IT Business Management|Java|Linux|Machine Learning|Management Consulting|Mentoring|Microsoft SQL Server|Motivational Speaking|MySQL|Networking|Non-profit Administration|Non-profit Leadership|Operating Systems|Oracle|Oracle Applications|Oracle E-Business Suite|Other Skills |PeopleSoft|Performance Tuning|Philanthropy|Process Improvement|Public Speaking|SAP|SDLC|Servers|SharePoint|Small Business|Social Media|Software Development|Software Documentation|Solaris|SQL|Testing|Tools & Technologies|Training
NA,bobehayes,Bob Hayes,NA,NA,NA,NA,NA,"Washington, United States",47.606209,-122.332069,39741,NA,NA,NA,https://twitter.com/bobehayes,https://www.linkedin.com/in/bobehayes/,Analysis|Analytical Skills|Brand Loyalty|Business Analysis|Business Intelligence|Competitive Analysis|Consulting|Consumer Insights|CRM|Customer Feedback|Customer Loyalty|Customer Relationship Management (CRM)|Customer Satisfaction|Data Analysis|Data Mining|Data Modeling|Data Science|Exit Surveys|Feedback|Interpersonal Skills|Market Research|Marketing|Marketing Research|Net Promoter Score|Other Skills |Research|Research Design|SaaS|Segmentation|SPSS|Start-ups|Statistics|Strategic Partnerships|Strategy|Survey Design|Survey Development|Survey Research|Tools & Technologies|Voice of the Customer|Writing
NA,BernardMarr,Bernard Marr,NA,NA,NA,NA,NA,"London, United Kingdom",51.507351,-0.127758,118500,NA,NA,NA,https://twitter.com/BernardMarr,https://www.linkedin.com/in/bernardmarr/,Analysis|Analytics|Artificial Intelligence|Balanced Scorecard|Benchmarking|Big Data Analytics|Business Analysis|Business Analytics|Business Planning|Business Process|Business Process Improvement|Business Strategy|Business Transformation|Change Management|Coaching|Consulting|CRM|Dashboard|Dashboards|Data Analysis|Enterprise Software|Executive Management|Finance|Governance|Human Resources|Inspiring People|Interpersonal Skills|IT Strategy|Key Performance Indicators|Knowledge Management|KPI|KPI implementation|Leadership|Management|Management Consulting|Market Research|Other Skills |People Management|Performance Improvement|Performance Management|Performance Measurement|Project Planning|Public Speaking|SAP|Strategic Planning|Strategic Thinking|Tools & Technologies|Training|Visionary
NA,BigDataGal,Lillian Pierson,NA,NA,NA,NA,NA,"Florida, United States",28.538336,-81.379234,132609,NA,NA,NA,https://twitter.com/BigDataGal,https://www.linkedin.com/in/lillianpierson/,Analytics|ArcGIS|ArcPy|Business Intelligence|Data Analysis|Data Science|Environmental Engineering|GIS|GIS Programer|HTML5|Hydraulics|Interactive Data Visualization Design|Interpersonal Skills|JavaScript|Land Development|Leadership|Lift Station Design|Modeling|MySQL|Other Skills |Project Management|Project Planning|Python|R|Reporting Systems|SAP|Sewer|Social Media Marketing|Spatial Analysis|Spatial Databases|Statistics|Technical Leadership|Technical Training|Technical Writing|Tools & Technologies|Wastewater Treatment Design|Water Distribution Design
NA,AndrewYNg,Andrew Ng,NA,NA,NA,NA,NA,"California, United States",37.441883,-122.143021,387529,NA,NA,NA,https://twitter.com/AndrewYNg,https://www.linkedin.com/in/andrewyng/,ai|machine learning|deep learning|MOOCs|robotics|education
NA,mrogati,Monica Rogati,NA,NA,NA,NA,NA,"California, United States",37.368832,-122.036346,46859,NA,NA,NA,https://twitter.com/mrogati,https://www.linkedin.com/in/mrogati/,Algorithms|Analytics|Artificial Intelligence|Big Data|Classification|Clustering|Collaborative Filtering|Crowdsourcing|Data|data stories|Data Visualization|Distributed Systems|Hadoop|Human Computer Interaction|Information Extraction|Information Retrieval|Interpersonal Skills|Java|Lucene|Machine Translation|Natural Language Processing|Optimization|Other Skills |Personal Finance|Predictive Modeling|Public Speaking|Python|Recommender Systems|Scalability|Search|Sentiment Analysis|Social Network Analysis|Social Networking|Start-ups|Text Analytics|Text Classification|Text Mining|Tools & Technologies|Travel Planning
NA,data_nerd,Carla Gentry,NA,NA,NA,NA,NA,"Florida, United States",28.538336,-81.379234,52788,NA,NA,NA,https://twitter.com/data_nerd,https://www.linkedin.com/in/datanerd13/,Access|Analysis|Analysis Services|Business Analysis|Business Intelligence|Cognos|Competitive Analysis|data mining|Data Modeling|data modeling|Data Research|Data Science|Data Warehousing|Databases|Direct Marketing|E-commerce|Econometrics|econometrics|Forecasting|Interpersonal Skills|Lead Optimization|Leadership|Management|Market Analysis|Market Opportunity Analysis|Market Research|Marketing|Marketing Research|Marketing Strategy|micosoft office suite|Microsoft Office|Microsoft SQL Server|Other Skills |Predictive Analytics|Predictive Modeling|Process Improvement|Program Management|Project Management|SAS|sas|SPSS|SQL|sql|sql server 2000-2008|ssas|Statistics|Target Identification|Text Mining|text mining|Tools & Technologies
NA,kdnuggets,Gregory Piatetsky,NA,NA,NA,NA,NA,"Massachusetts, United States",42.333672,-71.12088,143252,NA,NA,NA,https://twitter.com/kdnuggets,https://www.linkedin.com/in/gpiatetsky/,Algorithms|Analysis|Analytical Skills|Analytics|Anomaly Detection|Artificial Intelligence|Business Analytics|Business Intelligence|Computer Science|Consulting|CRM|Customer Relationship Management (CRM)|Data Analysis|Data Management|Data Modeling|Data Science|Data Visualization|Databases|Decision Trees|General Awesomeness|Information Retrieval|Interpersonal Skills|Knowledge Discovery|Machine Learning|Other Skills |Predictive Modeling|R|Search|Semantic Web|Social Media Measurement|Social Network Analysis|Statistical Modeling|Statistics|Text Analytics|Text Mining|Tools & Technologies|Web Analytics|Web Mining|Weka
NA,analyticbridge,Vincent Granville,NA,NA,NA,NA,NA,"Washington, United States",47.606209,-122.332069,198157,NA,NA,NA,https://twitter.com/analyticbridge,https://www.linkedin.com/in/vincentg/,Advertising Sales|Algorithms|Business Analytics|Business Intelligence|C|CRM|Customer Analysis|Data Analysis|Data Science|Data Visualization|Data Warehousing|Decision Trees|Fraud|Fraud Analysis|Hadoop|HTML|HTML + CSS|Interpersonal Skills|JavaScript|Logistic Regression
NA,naval,Naval Ravikant,NA,NA,NA,NA,NA,"California, United States",37.774929,-122.419418,532674,NA,NA,NA,https://twitter.com/naval,NA,Python|E-Commerce|Deep Information|Technology |Information Technology|Digital Media|Marketing| Analytics | Big Data | Software | Financial| Cloud Computing 
NA,tamaradull,Tamara Dull,NA,NA,NA,NA,NA,"California, United States",34.052235,-118.243683,17137,NA,NA,NA,https://twitter.com/tamaradull,https://www.linkedin.com/in/tamaradull/,Analytics|Big Data|Cloud Computing|Consulting|Data Warehousing|Emerging Technologies|Executive Management|Interpersonal Skills|IT Strategy|Management|Marketing Strategy|Open Source|Other Skills |Product Marketing|SaaS|Social Media|Software Development|Strategy|Thought Leadership|Tools & Technologies
NA,hmason,Hilary Mason,NA,NA,NA,NA,NA,"New York, United States",40.712776,-74.005974,114716,NA,NA,NA,https://twitter.com/hmason,https://www.linkedin.com/in/hilarymason/,Algorithms|Analytics|Artificial Intelligence|Big Data|big data|Blogging|Computer Science|Data Analysis|Data Science|Digital Media|Digital Strategy|Distributed Systems|Django|Entrepreneurship|Game Theory|Genetic Algorithms|Natural Language Processing|Tools & Technologies|Web Services|Weka
NA,EvanSinar,Evan Sinar,NA,NA,NA,NA,NA,"Pennsylvania, United States",40.440624,-79.995888,53163,NA,NA,NA,https://twitter.com/EvanSinar,https://www.linkedin.com/in/evansinar/,360 Feedback|Analytics|Applied Research|Big Data Analytics|Coaching|Competency Management|Data Modeling|Data Visualization|Employee Engagement|Human Resources|Interpersonal Skills|IOT|Job Analysis|Leadership|Legal Issues|Measurement|Organizational Development|Organizational Effectiveness|Other Skills |Performance Management|Personnel Selection|Personnel Selection|Project Management|Recruiting|Research|Strategy|Succession Planning
